Date,Open,High,Low,Close,Volume
2018-01-01,105.67936575730732,99.56868585893206,95.4943485260783,96.37198581938519,6652834
2018-01-02,95.80516912866482,90.69121812686153,98.01236918426122,102.44378804114405,6073254
2018-01-03,94.29305221952306,,98.0769796563602,102.49788481206473,8379719
2018-01-04,96.60950776245072,105.11750767124515,108.87986678248485,106.45288491194279,4577348
2018-01-05,94.12271866672576,95.89393654171079,107.23835445687156,102.01717613653307,8785782
2018-01-08,92.0859311329878,98.66471670183276,87.8520400685171,105.28740394008962,8300770
2018-01-09,104.27525178445421,94.55249555720528,96.2086787018509,104.28621422904845,3163968
2018-01-10,92.93208938940423,107.7773818070432,100.60934536721498,97.46218000560391,7632869
2018-01-11,99.47048471734875,106.22305221772385,109.90956637642674,103.48397956008138,6641417
2018-01-12,90.61444188136782,108.21587241852998,107.7135829202653,99.51549973824697,7924345
2018-01-15,97.39758121636957,110.83251511621309,90.84757206807093,100.27992900611302,4038353
2018-01-16,105.92881743755926,98.38097705151723,102.57819935683165,97.02209092386143,7591841
2018-01-17,105.69844525842981,103.2156618942171,108.15296762836138,110.0550771796321,1070155
2018-01-18,105.53120904462645,108.19558966071732,96.05700367386395,100.99062550473211,5480643
2018-01-19,116.67891660311643,103.95697306451865,101.16100072632837,104.32633196787434,1335766
2018-01-22,107.43527154722341,105.74395262971836,109.72043941524609,104.03339167031957,3423804
2018-01-23,105.696753553194,103.82751685668661,98.06627840066638,109.47025315940229,6684560
2018-01-24,106.09624983463577,105.65532265758355,104.11769742791664,97.78143276664498,4015640
2018-01-25,102.69477354500589,103.10363632147067,95.98140841559672,99.5095340080328,2136235
2018-01-26,105.00661910229631,104.69842284319364,105.06390450133715,109.9306939057888,5254470
2018-01-29,104.47527104240994,109.75697424317934,109.44129681573502,97.46764383794086,2176959
2018-01-30,104.7956745186441,106.46456182214838,108.46717906815182,99.71647870082826,5310186
2018-01-31,110.703858794214,100.06843834691608,98.01964539631099,102.27119551352142,5794735
2018-02-01,107.90741508438194,114.4593724142271,106.18702156807849,98.70322563422579,1378964
2018-02-02,102.6142300103167,107.31307909115327,108.18161630287219,110.16008914898319,5154372
2018-02-05,101.62784446139169,110.5556616597173,106.28746705648818,105.1584297115053,2161280
2018-02-06,109.16731587376175,102.82632815925618,99.86975035039731,106.40845549315075,1588042
2018-02-07,107.84431002205474,110.11581933706172,112.43245467880736,99.61159071997389,7213314
2018-02-08,106.69935305113378,98.27132393252329,98.00651536620992,103.96019175278573,9747782
2018-02-09,111.25882914538154,115.96200729996127,96.4016087339607,97.870965897736,5479261
2018-02-12,105.74328774821568,112.29304630349243,108.63968534545036,106.29901449039022,6626677
2018-02-13,107.00163137414422,105.04769165962085,102.37152315064418,114.79787800298877,9616634
2018-02-14,104.5880529779423,108.37078044676988,103.95224019010135,113.31438693158353,5135444
2018-02-15,106.65391235071911,103.90216884274811,106.99844866962992,116.10718183107977,8422199
2018-02-16,101.1478401162245,117.33337798819787,105.33142018015765,103.69984067716106,4763522
2018-02-19,110.05557363731171,112.72437485869492,109.04961462838303,113.66261003035589,2807930
2018-02-20,105.0297845984014,113.0414180557681,108.66878592489022,113.21595095406826,4525948
2018-02-21,113.98845562543157,105.63459711322915,108.79730942564765,106.27666840813708,3497071
2018-02-22,111.86428595228335,113.86434625172343,100.44195087812345,112.59099559305139,7010182
2018-02-23,108.54298748474882,111.34617531898176,107.41621590852857,119.30459631954055,4421305
2018-02-26,115.48039356890848,,104.49007204897777,106.03868142275995,4710095
2018-02-27,116.13056135192694,110.23579339801397,106.85514907106719,114.55321852826448,3192384
2018-02-28,118.08204516312738,120.61915487933769,105.2160189293937,106.99886399900635,7846886
2018-03-01,112.34521073703016,115.01737357967536,109.50506741634759,115.00454770652519,3583631
2018-03-02,109.54098522371345,116.83826388555336,111.41632132170639,122.94962690820347,2082333
2018-03-05,122.548041132776,123.07003756146779,115.97476035272499,117.122637215815,2601051
2018-03-06,107.20991712602336,120.45357110568811,112.80162205242286,116.58725869648518,5656282
2018-03-07,109.83824498428858,127.35077245136911,115.08778000906682,119.54886938481411,9919969
2018-03-08,112.68346798112812,113.4621688755884,101.15807445409988,121.17212488248326,2128655
